title,subtitle,author,synopsis,title_type,mission
#1126 The Good Life,vs. The Good Mood,,"Not too long ago, we had fun revisiting some Stoic wisdom as we mined some goodness with a range of books—including Musonius Rufus’s",+1s,Stoicism
"#404 Caterpillars, Butterflies and You","(And Maslow, Aristotle, Stoics and Others)",,"In our last +1, we talked about Abraham Maslow’s wisdom and the ancient etymology of the word clamor in the context of your capacities",+1s,Stoicism
#860 You and Your Gordion Knots,Conquering Our Super-Tricky Challenges,,"Skipping the longer philosophical chat about the ethics of being a conqueror, Today we’re going to chat about Alexander the Great. More",+1s,Stoicism
#1129 Your Secret Weapon,"Thank You, Epictetus and Hermes",,"In our last +1, we had some fun making our Optimize virtue compass. Recall the four cardinal points correspond with our four cardinal",+1s,Stoicism
#503 For Whom the Siren Wails,Don’t Ask … It’s for You,,"The other day as I was driving to the mountain for my sunrise Trail work, I passed an ambulance in front of a house and saw two paramedics",+1s,Stoicism
#1018 True Philosophy,Is the Practice of Noble Behavior,,"In our last +1, we talked about Musonius’s thoughts on theory vis-a-vis practice. Recall his wisdom: “Theory which teaches how one must",+1s,Stoicism
"#557 How to Reclaim Lost Time, Energy + Brainpower",Pro Tip: Practice Saying “I Don’t Know” + “I Don’t Care”,,"As we’ve discussed, Ryan Holiday is a modern Stoic. I think of him several times a day when I take his “Memento Mori” coin out of my",+1s,Stoicism
#1017 Theory vs. Practice,Musonius Says: One Is More Important Than the Other,,"In our last +1, we got some great marriage advice from the Roman Socrates, Musonius Rufus. He told us that: “When this mutual care is",+1s,Stoicism
"#862 You, Seneca and Alexander the Great",On Philosophy,,"In our last couple +1s, we had some fun hanging out with Alexander the Great as we watched him bust out his sword and slice the Gordion Knot",+1s,Stoicism
#378 Seneca on How to Give Advice,Like One Patient to Another,,I recently interviewed Donald Robertson. Donald is one of the world’s leading thinkers on Stoicism. He wrote The Philosophy of Cognitive,+1s,Stoicism
#850 Aurelius on Death,And Appreciating the “Uncovenanted Surplus” That Is Life,,"In our last +1, we reflected on the idea that little (and big) oopses provide us with opportunities to appreciate that we’re still alive",+1s,Stoicism
#209 Memento Mori,Want to Live? Remember Death,,"As you probably know by this point, I’m a big fan of Stoicism in general and of my favorite living Stoic philosopher Ryan Holiday in",+1s,Stoicism
#1131 Your Philosopher’s Wand,Goes Well with Your Philosopher’s Stone,,"In our last couple +1s, we’ve been having fun using our magic wands to alchemize adversity into exceptional opportunities for growth.",+1s,Stoicism
#380 Seneca Says: Be Harsh with Yourself at Times,"(With Self-Compassion, of Course)",,"In our last couple +1s, we had some fun at the hospital with our Stoic friends Seneca and Epictetus. Recall Epictetus’ wisdom that",+1s,Stoicism
#381 Seneca: The Worse a Person Is the Less He Feels It,Aurelius: Don’t Like Yourself? Why Would I Care Whether or Not You Like Me?,,"Continuing our good times with our Stoic friends, how about couple more gems from Seneca and Aurelius? Seneca once said, “The worse a",+1s,Stoicism
#1154 Operationalizing Antifragile Confidence,If… Then… Repeat. BOOM!,,"In our last +1, we spent some more time with our beloved Roman Stoic Seneca. As you may recall, first he told us that “Disaster is",+1s,Stoicism
#898 Antifragile Fuel,Aurelius on How to Make Flame and Brightness,,"Have you ever had an experience that annoyed you? (Hah.) Or, perhaps, a particular person who seems particularly skilled at annoying you?",+1s,Stoicism
#61 The Obstacle Is the Way,Plus: The Paradox of Fire,,Marcus Aurelius once wrote to himself in the journal he never intended to publish that we now know as Meditations that “The impediment to,+1s,Stoicism
#240 Our Minds Must Relax,Seneca on How to Avoid Mental Dullness and Lethargy,,"In our last +1, we talked about the Cal Newport-inspired “Shut-down complete!” First, quick check in: You win that game? 😃 Get this:",+1s,Stoicism
"#1108 The 1, 2, 3 of Antifragility",How to Operationalize OMMS,,This morning I was out on the Trail enjoying (yet!) another stunningly beautiful Ojai morning. I was thinking about our Mastery Series,+1s,Stoicism
#1047 Zeno’s Paradox,Time to Reverse It,,"In our last couple +1s, we’ve been getting our riddles on with Ellen Langer. How about another quick pop quiz?! Two parts. Four questions.",+1s,Stoicism
"#571 Pankration = ""All Strength""",Q: What Kind of Boxer Are You?,,"In our last +1, we talked about being an Optimus-Champion in our Big 3. We had fun with one of my new mantras: Champ Champ Champ.",+1s,Stoicism
#1072 Memento Privilege,The Science of Memento Mori,,"Let’s continue our exploration of the science of gratitude for another moment (or three). In his great book Gratitude Works!, Robert",+1s,Stoicism
#1274 Shall We Pray Together?,The Optimize Virtue Prayer,,"In our last +1, we talked about the potential catalytic force multiplicative power of our Optimize Coach program. I invited you to join us",+1s,Stoicism
The Psychology of Hope,You Can Get There from Here,Charles R. Snyder,"Rick Snyder was the founder of research into the science of hope. And, he was one of the pioneers of the positive psychology movement. In fact, he literally wrote the textbook on “Positive Psychology.” Big Ideas we explore include the three components of hope (goals + willpower + way power), the portrait of a high-hope person, how to create the right goals, remembering you WILL face obstacles, the power of multiple pathways and being a time traveler making a difference.",PhilosophersNotes,Stoicism
The Dhammapada,The Sayings of Buddha,Eknath Easwaran,"A core text of Buddhism, The Dhammapada literally means something along the lines of ""the path of truth and righteousness"" and is packed with wisdom. In this Note, we'll take a quick look at some central tenets of Buddhism (like the Four Noble Truths, nirvana, and the eightfold path) and soak up some Buddha mojo on how to rock our wisest lives.",PhilosophersNotes,Buddhism
The Way of the Bodhisattva,,Shantideva,"The Way of the Bodhisattva is one of the classics of Buddhism that teaches us the key elements of the Bodhisattva—one who has dedicated his or her life to serving the world and releasing all sentient beings from suffering. In this Note, we’ll check out the importance of cultivating bodhichitta (an “awakened mind”) and how we can do it. (Hint: It’s all about “diligence in virtuous ways”! :)",PhilosophersNotes,Buddhism
The Undefeated Mind,On the Science of Constructing an Indestructible Self,"Alex Lickerman, M.D.","How'd you like to have an undefeated mind while constructing an indestructible self? (I'll take 'em!) Alex Lickerman, MD shows us how--blending Western science with practical Eastern mysticism in this powerful book. In the Note, we'll explore how to find your mission and turn poison into medicine.",PhilosophersNotes,Buddhism
Buddha’s Brain,"The Practical Neuroscience of Happiness, Love & Wisdom",Rick Hanson,"Rick Hanson is a neuropsychologist and meditation teacher and this book delivers on its sub-title, delivering a practical look at the neuroscience of happiness, love and wisdom. It’s packed with Big Ideas on the science of how our brains work and he shares a broad range of various practices and guided meditations to help us re-wire our brains. Good stuff.",PhilosophersNotes,Buddhism
"Wherever You Go, There You Are",,Jon Kabat-Zinn,"Jon Kabat-Zinn is a Professor of Medicine at the University of Massachusetts and one of the world’s leading advocates for mindfulness training. He’s demonstrated the phenomenal health benefits of integrating meditation into our daily lives and in this Note we’ll learn about meditation—what it is, how we can rock it and what we can gain from doing so.",PhilosophersNotes,Buddhism
Peace Is Every Step,The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,"A humble Buddhist monk, Thich Nhat Hanh is one of the most revered spiritual leaders on the planet. This book is a collection of wisdom from his talks and private conversations and is packed with peaceful wisdom. In the Note, we’ll explore Big Ideas ranging from the importance of our breath and what he calls “mouth yoga” (aka smiling :) to how we can practice engaged mindfulness.",PhilosophersNotes,Buddhism
"No Mud, No Lotus",The Art of Transforming Suffering,Thich Nhat Hanh,"Thich Nhat Hanh is one of the world’s leading Buddhist monks. He is a true master and it’s a joy to connect with his powerful wisdom. I picked this book off the shelf after fires nearly burned down our town. It felt like a good time to remind myself of the fact that the good life is not—and cannot be—exclusively “good” times. Want a beautiful lotus flower? Embrace the mud. No mud, no lotus. Want a wonderful, flourishing life? Embrace the challenges. No challenges, no flourishing. Big Ideas we explore include: suffering goes with happiness, lotus flowers don’t grow in marble, feed the good stuff, the first thing to do when suffering strikes (breathe!), billions of funerals/b-days every day, the two arrows, and why the Buddha meditated after becoming the Buddha.",PhilosophersNotes,Buddhism
Silence,The Power of Quiet in a World Full of Noise,Thich Nhat Hanh,"Thich Nhat Hanh is a Vietnamese Buddhist Zen master and one of the world's leading spiritual teachers. In this great book he teaches us how to access the power of quiet in a noisy world. Big Ideas include bringing awareness to the ""Four Nutriments"" we consume, tuning in to the right radio station in our minds and creating an island of self.",PhilosophersNotes,Buddhism
The Miracle of Mindfulness,An Introduction to the Practice of Meditation,Thich Nhat Hanh,"Written in 1975, The Miracle of Mindfulness is one of Thich Nhat Hanh’s earliest books. It was originally written as a long letter to one of his main staff members in South Vietnam—encouraging him during very challenging times to continue their work of “engaged Buddhism.” It’s beautifully written and packed with wisdom. Big Ideas we explore include what qualifies as a miracle (hint: it’s ALL a miracle), choosing to sit or stand but avoiding the wobble, how to balance on top of a bamboo pole and three questions to ponder.",PhilosophersNotes,Buddhism
Fear,Essential Wisdom for Getting Through the Storm,Thich Nhat Hanh,"A Vietnamese Buddhist Zen master, Thich Nhat Hanh is, essentially, a living saint. In this great little book, Nhat Hanh delivers his essential wisdom on how to navigate the storms of life with more grace and poise as we cultivate fearlessness/nonfear. Big Ideas range from breathing in the moment, reflecting on interbeingness (= huge), and enhancing our energy of mindfulness and concentration.",PhilosophersNotes,Buddhism
Buddhism Day by Day,Wisdom for Modern Life,Daisaku Ikeda,"Buddhism Day by Day is a collection of thoughts from Daisaku Ikeda, the leader of Nichiren Buddhism and one of the most respected Buddhist philosophers alive whose work has inspired millions around the world. It’s a very ENGAGED form of Buddhism that I love. Big Ideas we explore include: True enlightenment, making a vow, the real optimism, repaying debts of gratitude, nourishing our soul and how to measure our true worth.",PhilosophersNotes,Buddhism
The Buddha in Your Mirror,Practical Buddhism and the Search for Self,Woody Hochswender & Greg Martin & Ted Morino,Looking for the Buddha? Cruise on over to your mirror and you'll find him (or her). YOU are the Buddha and this book shows us how to realize that fact and live from that awareness. Big Ideas range from rockin' your swan legs and cleaning your face to become who you are truly are.,PhilosophersNotes,Buddhism
When Things Fall Apart,Heart Advice for Difficult Times,Pema Chödrön,"Pema Chödrön is a Buddhist teacher and prolific author with an incredibly strong, yet compassionate and grounded perspective. This book is all about facing challenging times with courage as we lean into our fears and grow. We'll explore a bunch of Big Ideas on everything from why we should meditate to how long the process of actualizing takes (roughly the rest of our lives :)!",PhilosophersNotes,Buddhism
The Places that Scare You,A Guide to Fearlessness in Difficult Times,Pema Chödrön,"We've all got places that scare us and in her great book, Pema Chodrön helps us shine a compassionate light on them. We'll explore some Brilliant Ideas including the fact that being mad at someone and holding a grudge is kinda like eating rat poisoning thinking you're going to hurt the rat. Not so much. We'll also look at idiot compassion and the practice of rejoicing in others' good fortune and other wonderfulness.",PhilosophersNotes,Buddhism
Mindfulness,An Eight-Week Plan for Finding Peace in a Frantic World,Mark Williams,"Mark Williams is one of the world's leading authorities on applying mindfulness to cognitive therapy. In this great book, he teams up with Danny Penman to help us find peace in a frantic world. In the Note, we explore the what and why and how of cultivating our mindfulness. And, bonus, we get our raisin mind rockin'!",PhilosophersNotes,Buddhism
Everyday Zen,Love and Work,Charlotte Joko Beck,"Charlotte Joko Beck was the founder and former head teacher at the Zen Center in San Diego. I bought this book 10 years ago but it wasn’t until Eleanor recently pulled it off the shelf and dropped it on the ground that I picked it up and read it. (Very Zen, eh? lol) The book is a collection of edited talks Joko gave at her Zen center. It was published in 1989 when she was 82. (She passed away at 94 in 2011.) Fun fact: Joko started practicing Zen at 48. She went on to become an influential figure in the American Zen movement, founding her own approach called Ordinary Mind. So… If you feel a little “behind” in any aspect of your life, take heart! :) The book is packed with Big Ideas and I’m excited to share a few of my favorites with some practical wisdom we can apply to our lives TODAY.",PhilosophersNotes,Buddhism
Beyond Religion,Ethics for a Whole World,Dalai Lama,"I got this book after Ray Dalio strongly recommended it in Principles. It’s always a joy to read the words of a wise master. The Dalai Lama’s incredible thoughtfulness, humility, and grounded wisdom is inspiring. Big Ideas we explore include how to rethink secularism and create an ethics for a whole world, moving from knowing to doing, emotions (helpful or not vs. feel good or bad), contentment (material vs. mental), plus some meditation tips.",PhilosophersNotes,Buddhism
Constructive Living,"Outgrow Shyness, Depression, Fear, Stress, Grief, Chronic Pain. Achieve the Goal of Constructive Living - To Do Everything Well",David K. Reynolds,"Dan Millman (author of Way of the Peaceful Warrior and other great books) introduced me to this book as he's been deeply influenced by David Reynolds' integration of Zen Buddhism and Western Psychotherapy. In this Note, we'll explore some Big Ideas on how to live with greater self-mastery by more effectively relating to our emotions and consistently asking ourselves: ""Now what needs to be done?!""",PhilosophersNotes,Buddhism
The Art of Taking Action,Lessons from Japanese Psychology,Gregg Krech,"Greg Krech is one of the world’s leading teachers of Japanese psychology. This book integrates three core facets of the work he has done for the last 25+ years: Morita Therapy + kaizen + Naikan. Big Ideas we explore include understanding what is within our control and what is not (hint: thoughts and feelings are not; behaviors are), how to create momentum in your life and the importance of constant incremental improvement.",PhilosophersNotes,Buddhism
Big Mind Big Heart,Finding Your Way,Genpo Roshi,"Zen Master Genpo Roshi spent decades figuring out how to best help people develop enlightened awareness and came up with his revolutionary process called ""Big Mind."" In this Note, we'll take a peek at some Big Ideas from the Zen Master including how the root of suffering (dukkha) is getting stuck in one perspective and how that's about as effective as having a Maserati stuck in first gear. We'll also explore the place beyond idiot compassion as we become integrated human beings giving ourselves joyfully to the world.",PhilosophersNotes,Buddhism
"#320 You, Buddha and Your Fundies",Why Buddha Kept Meditating Post-Enlightenment,,"In No Mud, No Lotus, Thich Nhat Hanh tells us that when he was a young monk he thought the Buddha never suffered. Then, as he matured, he",+1s,Buddhism
#301 Just a Drop,Little by Little We Fill Our OptiPot,,"In one of our coaching sessions, Phil suggested I add “Just a drop” more energy to a certain aspect of my life. Just a drop. Not a",+1s,Buddhism
#302 A Drop of WD-40 for Your Mind,Sanskrit Says: Dukkha vs. Sukha,,"In our last +1, we talked about adding “Just a drop” more energy to a part of our lives that could use some attention. Again, we don’t",+1s,Buddhism
#310 The 2nd Arrow,Quit Shooting Yourself with It,,"In No Mud, No Lotus, Thich Nhat Hanh tells us that suffering is a part of life. You can’t create a beautiful lotus flower without some",+1s,Buddhism
#82 Suffering = Pain x Resistance,An Important Lesson on How to Reduce Suffering,,"In her great book Self-Compassion, Kristin Neff shares a little equation that can help us reduce our suffering. It goes like this: Suffering",+1s,Buddhism
#53 Little by Little,The Buddha on How to Optimize,,"One of my favorite gems from the Buddha is this wisdom: “Little by little one becomes evil, as a water pot is filled with water. Little by",+1s,Buddhism
#248 Limitless Qualities,And Their Enemies: Near and Far,,"In our last +1, we talked about Aristotle’s Virtuous Mean. As it turns out, Buddhism has its own take on the same idea. Let’s take a",+1s,Buddhism
#887 Lightbulbs in the Temple of God,"Less Graffiti, More Shining",,"In our last +1, we talked about Joseph Campbell’s koan: “What am I? Am I the bulb that carries the light, or am I the light of which the",+1s,Buddhism
#497 Poison into Medicine,The Ultimate Alchemy,,"Continuing our “let’s create an indestructible self” theme (!), here’s another way Alex Lickerman encourages us to think about it in",+1s,Buddhism
#579 Zen in the Art of Spartan Spear Throwing,Choosing a Practice As a Portal to Optimizement,,Alexandra recently got Steven Pressfield’s newest book called The Artist’s Journey. Sub-title: The Wake of the Hero’s Journey and the,+1s,Buddhism
#603 The Golden Buddha: Part II,The Historical Reality + The Parable,,Not too long ago we talked about The Golden Buddha. I always thought it was a beautiful parable about the fact that we’re all already,+1s,Buddhism
#467 Buddha on: Making Arrows Straight,Carving Wood and Irrigating Water,,"In our last +1, we talked about Aristotle’s Doctrine of the Mean. With diligent, patient, and persistent practice, virtuous activity of",+1s,Buddhism
#951 Deepak on Superheroes,"The Buddha, Bodhisattvas and You",,"In our last +1, we reminded ourselves of the fact that the ancient Greek word for hero didn’t mean “tough guy” or “killer of bad",+1s,Buddhism
"#578 Creating a Confident, Dignified Life",Running into Buddha and Confucius at the Local Grocery Store,,The other day I was waiting in line at our local grocery store. It’s kinda like a mini-Whole Foods. Note: There were no horses tethered in,+1s,Buddhism
#279 Teflon vs. Velcro,We’re Wired to Hold On to Negative Stuff,,Rick Hanson is a leading neuroscientist and mindfulness teacher who wrote a couple great books: Buddha’s Brain and Hardwired for,+1s,Buddhism
#631 Your Golden Seeds,Take Them Out of the Packet and Plant Them!,,"Not too long ago, we talked about the Golden Buddha. In fact, as you may recall, we talked about him twice. First, I thought it was just a",+1s,Buddhism
#321 How to Center Yourself,Make It a Game - Here’s How to Play,,Michael Gelb is one of the world’s leading authorities on creativity. He’s also an aikido and qi gong master and best-selling author of,+1s,Buddhism
#1123 Gotta Do It?,Might as Well LOVE It!,,"We’re in the process of selling our house while buying another. As part of that process, I’ve been on the phone a lot more than",+1s,Buddhism
#66 Warriors vs. Librarians,"Let’s Not Just Catalogue these +1s, Let’s LIVE Them",,"Our last +1 was about a modern-day warrior, Georges St-Pierre. Let’s talk about old-school philosophical warriors for a moment. In his",+1s,Buddhism
#636 The Royal You,Wake Up and Find Yourself a True Prince(ss),,"Ralph Waldo Emerson wrote Self-Reliance in 1841. (For curious souls, he was 38 at the time.) Among many other notable and quotable passages",+1s,Buddhism
#946 Thought Alchemy,How to Change One Thought for Another,,"In our last +1, we talked about my new go-to mantra: “Thank you.” You try it out yet? Thank you. Thank you. Thank you. Thank you. Thank",+1s,Buddhism
"#375 You, a Farmer and His Horse",A Zen Fable on Good and Bad Luck,,"Once upon a time in a land far away, there was an old farmer. This man had a horse. Then, one day, his horse ran away. All the neighbors",+1s,Buddhism
#870 How to Stop Worrying,And Start Living (Hint: Spit on Your Hands and Get Busy!),,"At this stage, most people have heard of Dale Carnegie’s uber-bestselling book How to Win Friends and Influence People. It was originally",+1s,Buddhism
#496 An Indestructible Mind,The Creation Of,,"In our last +1, we talked about inviting the Conquering Hero to your mind-wandering party and escorting out the Suffering (Whiney) Martyr.",+1s,Buddhism
#1097 Legitimate Suffering,Let’s Allow It and Stop Multiplying It,,"In our last +1, we talked about falling UPWARD and the fact that life will (hate to continue to break the news to you) involve suffering. I",+1s,Buddhism
#83 Name It to Tame It,How to Tame the Gremlins,,"In our last +1, we talked about the fact that Suffering = Pain x Resistance. I briefly mentioned one way to reduce our suffering—simply",+1s,Buddhism
#452 The Space,Between Stimulus and Response,,Viktor Frankl was a remarkable human being. He was a leading psychotherapist before suffering the horrors of Nazi concentration camps. He,+1s,Buddhism
#84 Rumination,It's Time to Quit Chewing on Your Mental Cud,,"While we’re on a roll with how to reduce our emotional suffering, let’s talk about something you want to quit doing: ruminating. Science",+1s,Buddhism
#705 The Psychology of Pain,Want to Endure More Pain? Science Says: Brace Yourself,,Continuing our exploration of how to endure the pain of walking over burning (psychological) coals in pursuit of the upper limits of our,+1s,Buddhism
#779 An Increasingly Healthy Mind,Sam Harris on the Real (Near) Goal,,"Sam Harris is a very smart and very wise man. As you may know, he’s part neuroscientist, part philosopher, part mystic. In his great book",+1s,Buddhism
#583 The Little Things,Aren’t So Little,,Jerry Rice was one of the greatest (American) football players ever. He was a wide receiver known for his astonishing work ethic and,+1s,Buddhism
#1270 Spray Painting Leaves,Wise Gardening for Mind Body and Soul,,"In our last +1, we hung out with some scientists and doctors who decided to test whether or not FOOD prescriptions would be more",+1s,Buddhism
#396 Impermanence,"""Anicca, Anicca, Anicca""",,"Continuing our fun little recap of wisdom picked up at an S.N. Goenka Vipassana retreat, let’s talk about impermanence. We’ll do so via",+1s,Buddhism
"#393 Work Diligently, Patiently and Persistently",And You’re Bound to Be Successful,,"In our last +1, we talked about the power of blissipline. Bliss + Discipline = Boom! When I think about bringing discipline to our lives",+1s,Buddhism
#395 Strong Determination,How’s Yours?,,"Continuing our theme of S.N. Goenka-inspired wisdom, let’s chat about something he calls “Strong Determination.” First, context.",+1s,Buddhism
#394 Start Again,And Again and Again and Again…,,"In our last +1, we talked about the renowned Vipassana meditation teacher S.N. Goenka and his mantra: “Work diligently. Diligently. Work",+1s,Buddhism
#392 Blissipline,Bliss + Discipline = Secret Sauce,,Michael Beckwith coined one of my favorite words: blissipline. Two parts: Bliss + Discipline. This brilliant thought from Beckwith captures,+1s,Buddhism
#462 The Thread Thru Your Head,Pull It Up for Poise and Relaxed Power,,"On June 8th, 2001, I was on the back patio of my apartment a block from the beach in La Jolla, California reading Michael Gelb’s How to",+1s,Buddhism
#409 It Is What It Is,The Power of Loving What Is,,Byron Katie wrote a great book called Loving What Is. We talked about her before in the context of making sure you stay in YOUR business,+1s,Buddhism
"#399 Bonzai Trees, Goldfish, and You",How to 100x Your Awesome,,Today we’re going to chat about bonzai trees and goldfish and you. Alan Cohen puts it so perfectly (in his epically named book Why Your,+1s,Buddhism
#398 The Parable of the Talents,Using Yours?,,"In our last +1, we talked about a wise daughter-in-law who planted her seeds and reaped a bountiful harvest. Another great teacher once told",+1s,Buddhism
#397 Seeds of (Metaphorical) Corn,You Planting Yours?,,"We’re on a roll with some mindfulness wisdom via Goenka, so here’s one more story. Once upon a time an Indian woman with a large family",+1s,Buddhism
#365 Fingers and Lectures,Remember: Attend Your Own Lectures,,"Please extend your pointer finger and shake it as if you’re lecturing someone — saying something like, “You shouldn’t do this, this",+1s,Buddhism
#364 Ink Blobs & Emptiness,What Do You See When You Look at That Blob of Ink that Is Life?,,"Today we’re going to talk about ink blobs and emptiness. First: Have you ever heard of Rorschach tests? Basically, psychologists can sneak",+1s,Buddhism
#307 You and an Elephant,A Parable About Blind Guys and Perspective,,"In our last +1, we talked about you and your donkey and the fact that you can’t please everyone all the time. Continuing our theme of",+1s,Buddhism
#306 You and Your Donkey,A Parable on Trusting Yourself,,"Have you ever heard the story about a guy and his son and their donkey? It goes something like this. A long, long time ago in a faraway land",+1s,Buddhism
#20 How to Stop Thinking,The #1 Tip on How to Master this Important Lost Art,,"Patrick McKeown is one of the world’s leading experts on optimal breathing. When I interviewed him recently, he made a very interesting",+1s,Buddhism
#11 Psychological Flexibility,A Hallmark of Happy Humans,,Dan Siegel is one of the world’s leading mindfulness / neuroscience / interpersonal neurobiology experts. Dan tells us that the healthy,+1s,Buddhism
The Diamond Cutter,The Buddha on Strategies for Managing Your Business and Your Life,Geshe Michael Roach,"The wise Michael Roach was an undercover Buddhist monk who used a classic sutra from Buddhism (called The Diamond Cutter) to build a diamond business. In his book, he describes how he successfully applied this classic wisdom to his modern business and in the Note, we'll take a look at some of my favorite Big Ideas—including the fact that the world is ""empty"" of meaning and we always have the ability to see its hidden potential.",PhilosophersNotes,Buddhism
Purpose 101,How to discover your purpose and fulfill your destiny,,"Abraham Maslow tells us that what one can be, one must be. Actualizing our potential is like oxygen for the soul. Helping you discover your purpose and fulfill your destiny is what this class is all about.",101 Classes,Purpose
Purpose 102,Bonus Video: 25 Journaling Questions,,25 journaling questions on how to discover your purpose and fulfill your destiny.,101 Classes,Purpose
The Hero with a Thousand Faces,The Collected Works of Joseph Campbell,Joseph Campbell,"Joseph Campbell was an American author and teacher best known for his work in the field of comparative mythology. If you’ve ever heard of the “Hero’s Journey,” you have him and his lifelong commitment to studying mythology to thank. This book (written in 1949) is the one that captures the essence of his thoughts on the “monomyth” that shows up across all cultures. One universal hero. A thousand faces. Big Ideas we explore include: a quick look at the hero’s journey, moving past the veil of the unknown (aka romancing your discomfort zone) while creating micro hero journeys (all day every day), your ultimate boon (don’t make King Midas’s mistake), the mistake that the makers of legend made (growth mindset, guys!!), and a portrait of the modern hero (look in the mirror!).",PhilosophersNotes,Purpose
The Power of Myth,,Joseph Campbell,"Ah, The Power of Myth. This book is based on the amazing PBS interview series Bill Moyers did with Campbell shortly before he passed away and captures some of the 24 hours of filmed wisdom that hit the cutting floor. We'll learn how Campbell came up with the admonition to ""follow your bliss!"" (hint: it's from the Upanishads), the importance of loving our fate, how we're helped by hidden hands when we really commit to our paths and so much more.",PhilosophersNotes,Purpose
Pathways to Bliss,Mythology and Personal Transformation,Joseph Campbell,"This is one of the three books by Campbell we cover and in this Note, we'll learn why following our bliss is so important (hint: our bliss is the transcendent wisdom within us bubbling up!) and how we can more courageously follow it in our lives (hint: say ""Yes!"" to life more often!). We'll also look at how we can make the simple things in our life part of our heroic journey and how going for it isn't an ego trip.",PhilosophersNotes,Purpose
A Joseph Campbell Companion,Reflections on the Art of Living,Joseph Campbell,"Joseph Campbell occupies the Grandfather slot in my spiritual family tree and this book is an incredible collection of some of his most inspiring wisdom. In the Note, we'll explore a range of Big Ideas from what it means to (and how to!) follow our bliss as we rock our hero's journey to learning that we've gotta be willing to break some eggs if we want to make omelets (aka, we've gotta be willing to make mistakes as we grow!).",PhilosophersNotes,Purpose
Noble Purpose,The Joy of Living a Meaningful Life,William Damon,"William Damon is one of the world’s leading scientists studying human development and the psychology of morality. In this book, he gives us a guide to discovering and creating our noble purpose. Big Ideas we explore include making a distinction between noble and heroic, the ultimate purpose formula, 9 tips on how to cultivate your noble purpose, the one phrase your advisor should whisper in your ears when you’ve achieved ultimate success, and how to create true, sustainable happiness.",PhilosophersNotes,Purpose
The Path to Purpose,How Young People Find Their Calling in Life,William Damon,"This book is a scientific look at Purpose by one of the world’s leading developmental psychologists—a powerful look at how to cultivate purpose in our children (and, for that matter, ourselves) and why it’s so important. Big Ideas we explore include a definition of what it means to be purposeful (and a look at the alternatives), the #1 thing that gets in the way of discovering and creating purpose, 9 key things parents can do to help their kids with purpose, why entrepreneurial spirit is so important and a four-word mantra to reduce timidity and build courage and confidence.",PhilosophersNotes,Purpose
A Round of Golf with My Father,The New Psychology of Exploring Your Past to Make Peace with Your Present,William Damon,"This is our fourth note on one of William Damon's books. Professor Damon is one of the world’s leading scholars on human development across the lifespan. He’s also an incredibly good human being. In this book, William Damon helps us create a “coherent narrative” for our lives by, as per the sub-title, “Exploring Your Past to Make Peace with Your Present.” It’s FANTASTIC. We'll explore the three primary aspects of a 'life review' and a ton of other Big Ideas. Let’s jump straight in!",PhilosophersNotes,Purpose
The Power of Ideals,The Real Story of Moral Choice,William Damon & Anne Colby,"William Damon and Anne Colby are two of the world’s leading researchers in the field of moral psychology. They’re both Professors at Stanford and have been married for 30+ years. This is a thoughtful and thought-provoking book that challenges the “new science of morality”’s view that morality is essentially biologically and socially determined. Damon and Colby argue that we all have the power to cultivate our more noble, moral possibilities. Big Ideas we explore include a quick look at our moral exemplars, moral agency, and the three virtues we want to cultivate: Truth + Humility + Faith.",PhilosophersNotes,Purpose
The Road to Character,,,"In today’s world, the road to character has a much less defined map than the road to external success. In this thoughtful, penetrating book, New York Times op-ed columnist and author David Brooks walks us through the evolution of our culture away from a character ethic toward a society all about what he calls the “Big Me.” And, of course, he shows us the way back to character. Big Ideas we explore include résumé virtues vs. eulogy virtues, answering the summons, conquering yourself, living for holiness and becoming strongest at your weakest point.",PhilosophersNotes,Purpose
The Second Mountain,The Quest for a Moral Life,,"David Brooks is one of the nations’ leading writers and commentators. He is an op-ed columnist for the New York Times and appears regularly on PBS NewsHour and Meet the Press. I loved his book The Road to Character. I loved this one even more. David tells us there are two mountains: The first mountain? That’s what society tells us we should pursue: all the normal trappings of success. The second mountain? That’s where the magic (and joy!) exists: where we move beyond ourselves and COMMIT (important word for this book!) to giving ourselves most fully to something bigger than ourselves. David identifies four potential commitments: to our families, to our vocations, to our faith/philosophy of life and to our communities. Ultimately, the book is intended to be a guide to the ULTIMATE quest in life: “The Quest for a Moral Life.”",PhilosophersNotes,Purpose
The Great Work of Your Life,A Guide for the Journey to Your True Calling,Stephen Cope,"Stephen Cope is the director of the Kripalu Institute for Extraordinary Living—the largest yoga research institute in the Western world. In this great book, Stephen brings the Bhagavad Gita to life and helps us apply this ancient wisdom to our modern lives. Big Ideas include the four keys to living your dharma, creating the right conditions, dealing with difficulties, training elephants, and reducing yourself to zero!",PhilosophersNotes,Purpose
Mastery,,Robert Greene,"Leonardo da Vinci. Charles Darwin. Wolfgang Amadeus Mozart. Martha Graham. The Wright Brothers. Jane Goodall. Benjamin Franklin. Thomas Edison. Zora Neale Hurston. What do they all have in common? Mastery. In this great book Robert Greene shows us the key components of their mastery and, most importantly, how WE can each attain our mastery in our own lives.",PhilosophersNotes,Purpose
